"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"998","Medical, dental, and ophthalmic laboratory technicians","Production, Transportation, and Material Moving","Production",61289,30202,31087,50.7,36689,40940,34086,83.2584269662921,2021-06-01
"999","Packaging and filling machine operators and tenders","Production, Transportation, and Material Moving","Production",204716,100367,104349,51,25327,28310,22746,80.3461674320028,2021-06-01
"1000","Painting workers","Production, Transportation, and Material Moving","Production",111570,99214,12356,11.1,36655,37361,27478,73.547281925002,2021-06-01
"1001","Photographic process workers and processing machine operators","Production, Transportation, and Material Moving","Production",24063,12563,11500,47.8,28406,38140,22254,58.348190875721,2021-06-01
"1002","Semiconductor processors","Production, Transportation, and Material Moving","Production",1842,1121,721,39.1,36199,36624,35526,NA,2021-06-01
"1003","Adhesive bonding machine operators and tenders","Production, Transportation, and Material Moving","Production",7013,4559,2454,35,35672,41820,21858,NA,2021-06-01
"1004","Cleaning, washing, and metal pickling equipment operators and tenders","Production, Transportation, and Material Moving","Production",5395,3542,1853,34.3,30043,35086,25778,NA,2021-06-01
"1005","Cooling and freezing equipment operators and tenders","Production, Transportation, and Material Moving","Production",2034,1835,199,9.8,45539,45723,NA,NA,2021-06-01
"1006","Etchers and engravers","Production, Transportation, and Material Moving","Production",6350,4775,1575,24.8,32366,35976,26367,NA,2021-06-01
"1007","Molders, shapers, and casters, except metal and plastic","Production, Transportation, and Material Moving","Production",22359,19670,2689,12,32152,34116,22129,NA,2021-06-01
"1008","Paper goods machine setters, operators, and tenders","Production, Transportation, and Material Moving","Production",21451,17286,4165,19.4,41050,49539,21531,NA,2021-06-01
"1009","Tire builders","Production, Transportation, and Material Moving","Production",11516,10922,594,5.2,50843,50906,48971,NA,2021-06-01
"1010","Helpers--production workers","Production, Transportation, and Material Moving","Production",28067,22112,5955,21.2,27463,30078,22101,NA,2021-06-01
"1011","Supervisors of transportation and material moving workers","Production, Transportation, and Material Moving","Transportation",180426,146478,33948,18.8,50717,52151,39700,76.1250982723246,2021-06-01
"1012","Aircraft pilots and flight engineers","Production, Transportation, and Material Moving","Transportation",86766,83117,3649,4.2,99152,100263,64765,NA,2021-06-01
"1013","Air traffic controllers and airfield operations specialists","Production, Transportation, and Material Moving","Transportation",32904,24882,8022,24.4,89236,90321,81404,90.1274343729587,2021-06-01
"1014","Flight attendants","Production, Transportation, and Material Moving","Transportation",50986,11818,39168,76.8,44303,53200,42237,79.3928571428571,2021-06-01
"1015","Ambulance drivers and attendants, except emergency medical technicians","Production, Transportation, and Material Moving","Transportation",10871,7848,3023,27.8,23850,27537,20670,NA,2021-06-01
"1016","Bus drivers","Production, Transportation, and Material Moving","Transportation",267775,161334,106441,39.8,32414,36535,27795,76.0777336800328,2021-06-01
"1017","Driver/sales workers and truck drivers","Production, Transportation, and Material Moving","Transportation",2569929,2455007,114922,4.5,40913,41201,30173,73.2336593771996,2021-06-01
"1018","Taxi drivers and chauffeurs","Production, Transportation, and Material Moving","Transportation",237024,210214,26810,11.3,27206,28081,23131,82.3724226345216,2021-06-01
"1019","Motor vehicle operators, all other","Production, Transportation, and Material Moving","Transportation",20578,17369,3209,15.6,26489,26820,25587,NA,2021-06-01
"1020","Locomotive engineers and operators","Production, Transportation, and Material Moving","Transportation",46130,44021,2109,4.6,78092,78583,61334,NA,2021-06-01
"1021","Railroad brake, signal, and switch operators","Production, Transportation, and Material Moving","Transportation",3808,3808,0,0,57310,57310,NA,NA,2021-06-01
"1022","Railroad conductors and yardmasters","Production, Transportation, and Material Moving","Transportation",46802,44966,1836,3.9,65538,66317,47697,NA,2021-06-01
"1023","Subway, streetcar, and other rail transportation workers","Production, Transportation, and Material Moving","Transportation",11165,9845,1320,11.8,61113,61943,52345,NA,2021-06-01
"1024","Sailors and marine oilers","Production, Transportation, and Material Moving","Transportation",15078,14524,554,3.7,43772,43583,45610,NA,2021-06-01
"1025","Ship and boat captains and operators","Production, Transportation, and Material Moving","Transportation",26446,26132,314,1.2,60418,60870,21157,NA,2021-06-01
"1026","Ship engineers","Production, Transportation, and Material Moving","Transportation",3119,2937,182,5.8,89141,100129,23896,NA,2021-06-01
"1027","Bridge and lock tenders","Production, Transportation, and Material Moving","Transportation",2746,2017,729,26.5,50870,58365,30232,NA,2021-06-01
"1028","Parking lot attendants","Production, Transportation, and Material Moving","Transportation",43942,38141,5801,13.2,24865,25416,20614,NA,2021-06-01
"1029","Automotive and watercraft service attendants","Production, Transportation, and Material Moving","Transportation",51714,46618,5096,9.9,21903,22045,20550,NA,2021-06-01
"1030","Other transportation workers","Production, Transportation, and Material Moving","Transportation",16123,14593,1530,9.5,36973,36573,43882,NA,2021-06-01
"1031","Conveyor operators and tenders","Production, Transportation, and Material Moving","Material Moving",4462,3564,898,20.1,37988,38779,36176,NA,2021-06-01
"1032","Crane and tower operators","Production, Transportation, and Material Moving","Material Moving",56717,55289,1428,2.5,51753,51748,51867,NA,2021-06-01
"1033","Dredge, excavating, and loading machine operators","Production, Transportation, and Material Moving","Material Moving",24385,24257,128,0.5,45314,45190,51364,NA,2021-06-01
"1034","Hoist and winch operators","Production, Transportation, and Material Moving","Material Moving",5627,5074,553,9.8,39610,37671,65856,NA,2021-06-01
"1035","Industrial truck and tractor operators","Production, Transportation, and Material Moving","Material Moving",446646,416492,30154,6.8,31579,31580,31558,99.9303356554782,2021-06-01
"1036","Cleaners of vehicles and equipment","Production, Transportation, and Material Moving","Material Moving",217057,191159,25898,11.9,24655,25047,21828,87.1481614564618,2021-06-01
"1037","Laborers and freight, stock, and material movers, hand","Production, Transportation, and Material Moving","Material Moving",1333857,1113986,219871,16.5,30256,30949,25457,82.2546770493392,2021-06-01
"1038","Machine feeders and offbearers","Production, Transportation, and Material Moving","Material Moving",16791,10533,6258,37.3,26963,28868,23022,79.7492032700568,2021-06-01
"1039","Packers and packagers, hand","Production, Transportation, and Material Moving","Material Moving",274739,113331,161408,58.7,22107,24295,21153,87.0672977979008,2021-06-01
"1040","Pumping station operators","Production, Transportation, and Material Moving","Material Moving",24642,23111,1531,6.2,60028,60028,60208,NA,2021-06-01
"1041","Refuse and recyclable material collectors","Production, Transportation, and Material Moving","Material Moving",66445,61465,4980,7.5,30571,30512,32203,NA,2021-06-01
"1042","Mine shuttle car operators","Production, Transportation, and Material Moving","Material Moving",1331,1277,54,4.1,65463,51595,NA,NA,2021-06-01
"1043","Tank car, truck, and ship loaders","Production, Transportation, and Material Moving","Material Moving",3994,3498,496,12.4,32318,33566,19329,NA,2021-06-01
"1044","Material moving workers, all other","Production, Transportation, and Material Moving","Material Moving",31845,27996,3849,12.1,36333,36930,31958,NA,2021-06-01
"1045","Chief executives","Management, Business, and Financial","Management",1040875,796280,244595,23.5,126200,140057,101496,72.5,2021-06-01
"1046","General and operations managers","Management, Business, and Financial","Management",820262,582065,238197,29,69820,75067,57384,76.4,2021-06-01
"1047","Legislators","Management, Business, and Financial","Management",11383,6260,5123,45,61769,70789,56731,80.1,2021-06-01
"1048","Advertising and promotions managers","Management, Business, and Financial","Management",42778,19268,23510,55,61440,70913,55329,78,2021-06-01
"1049","Marketing and sales managers","Management, Business, and Financial","Management",819708,463834,355874,43.4,80734,95761,65921,68.8,2021-06-01
"1050","Public relations and fundraising managers","Management, Business, and Financial","Management",52633,19478,33155,63,78347,84675,72278,85.4,2021-06-01
"1051","Administrative services managers","Management, Business, and Financial","Management",135020,81001,54019,40,61901,68249,56589,82.9,2021-06-01
"1052","Computer and information systems managers","Management, Business, and Financial","Management",550033,400987,149046,27.1,101338,104424,92260,88.4,2021-06-01
"1053","Financial managers","Management, Business, and Financial","Management",1075868,514557,561311,52.2,75203,97095,60996,62.8,2021-06-01
"1054","Compensation and benefits managers","Management, Business, and Financial","Management",18273,4488,13785,75.4,77079,106935,70594,NA,2021-06-01
"1055","Human resources managers","Management, Business, and Financial","Management",346818,136261,210557,60.7,71789,80464,67815,84.3,2021-06-01
"1056","Training and development managers","Management, Business, and Financial","Management",45083,22499,22584,50.1,74067,75903,71835,94.6,2021-06-01
"1057","Industrial production managers","Management, Business, and Financial","Management",224674,180386,44288,19.7,73812,76055,66667,87.7,2021-06-01
"1058","Purchasing managers","Management, Business, and Financial","Management",180237,94739,85498,47.4,71940,81136,65993,81.3,2021-06-01
"1059","Transportation, storage, and distribution managers","Management, Business, and Financial","Management",208783,168799,39984,19.2,52382,53030,51266,96.7,2021-06-01
"1060","Farmers, ranchers, and other agricultural managers","Management, Business, and Financial","Management",478065,425953,52112,10.9,41566,42400,28800,67.9,2021-06-01
"1061","Construction managers","Management, Business, and Financial","Management",519273,481677,37596,7.2,70871,71257,61768,86.7,2021-06-01
"1062","Education administrators","Management, Business, and Financial","Management",725830,262810,463020,63.8,70002,80060,62613,78.2,2021-06-01
"1063","Architectural and engineering managers","Management, Business, and Financial","Management",142692,130504,12188,8.5,126098,125849,131780,104.7,2021-06-01
"1064","Food service managers","Management, Business, and Financial","Management",799339,440295,359044,44.9,36830,41550,31660,76.2,2021-06-01
"1065","Funeral service managers","Management, Business, and Financial","Management",6678,5043,1635,24.5,58968,62545,51774,NA,2021-06-01
"1066","Gaming managers","Management, Business, and Financial","Management",15573,9255,6318,40.6,51822,60539,45571,75.3,2021-06-01
"1067","Lodging managers","Management, Business, and Financial","Management",111620,57502,54118,48.5,42869,49199,40726,82.8,2021-06-01
"1068","Medical and health services managers","Management, Business, and Financial","Management",584635,172461,412174,70.5,70550,83190,65667,78.9,2021-06-01
"1069","Natural sciences managers","Management, Business, and Financial","Management",19346,9350,9996,51.7,78026,101096,70411,69.6,2021-06-01
"1070","Postmasters and mail superintendents","Management, Business, and Financial","Management",20609,9897,10712,52,69456,74036,64742,87.4,2021-06-01
"1071","Property, real estate, and community association managers","Management, Business, and Financial","Management",461757,234252,227505,49.3,52153,61333,46957,76.6,2021-06-01
"1072","Social and community service managers","Management, Business, and Financial","Management",293821,95879,197942,67.4,55506,66320,51472,77.6,2021-06-01
"1073","Emergency management directors","Management, Business, and Financial","Management",6950,4429,2521,36.3,61161,61088,61302,NA,2021-06-01
"1074","Managers, all other","Management, Business, and Financial","Management",3681343,2443030,1238313,33.6,76680,82139,66153,80.5,2021-06-01
"1075","Agents and business managers of artists, performers, and athletes","Management, Business, and Financial","Business and Financial Operations",28197,16204,11993,42.5,55086,60167,43617,72.5,2021-06-01
"1076","Buyers and purchasing agents, farm products","Management, Business, and Financial","Business and Financial Operations",8890,6538,2352,26.5,50504,51087,43750,NA,2021-06-01
"1077","Wholesale and retail buyers, except farm products","Management, Business, and Financial","Business and Financial Operations",138703,70538,68165,49.1,42479,41549,45473,109.4,2021-06-01
"1078","Purchasing agents, except wholesale, retail, and farm products","Management, Business, and Financial","Business and Financial Operations",243673,116426,127247,52.2,52118,56516,50429,89.2,2021-06-01
"1079","Claims adjusters, appraisers, examiners, and investigators","Management, Business, and Financial","Business and Financial Operations",264364,106214,158150,59.8,51638,58069,48172,83,2021-06-01
"1080","Compliance officers","Management, Business, and Financial","Business and Financial Operations",203916,96365,107551,52.7,65541,70880,60193,84.9,2021-06-01
"1081","Cost estimators","Management, Business, and Financial","Business and Financial Operations",117961,102374,15587,13.2,62038,65039,47652,73.3,2021-06-01
"1082","Human resources workers","Management, Business, and Financial","Business and Financial Operations",622517,165517,457000,73.4,55712,62608,52960,84.6,2021-06-01
"1083","Compensation, benefits, and job analysis specialists","Management, Business, and Financial","Business and Financial Operations",49272,9570,39702,80.6,50547,66311,48544,73.2,2021-06-01
"1084","Training and development specialists","Management, Business, and Financial","Business and Financial Operations",124732,55168,69564,55.8,56712,65481,51318,78.4,2021-06-01
"1085","Logisticians","Management, Business, and Financial","Business and Financial Operations",118827,80188,38639,32.5,51414,53598,49257,91.9,2021-06-01
"1086","Management analysts","Management, Business, and Financial","Business and Financial Operations",601323,356627,244696,40.7,81491,90316,72526,80.3,2021-06-01
"1087","Meeting, convention, and event planners","Management, Business, and Financial","Business and Financial Operations",84357,18995,65362,77.5,46795,52198,46016,88.2,2021-06-01
"1088","Fundraisers","Management, Business, and Financial","Business and Financial Operations",69606,18867,50739,72.9,60257,70945,57197,80.6,2021-06-01
"1089","Market research analysts and marketing specialists","Management, Business, and Financial","Business and Financial Operations",223163,101313,121850,54.6,67036,80482,60564,75.3,2021-06-01
"1090","Business operations specialists, all other","Management, Business, and Financial","Business and Financial Operations",240307,113340,126967,52.8,61388,71857,52542,73.1,2021-06-01
"1091","Accountants and auditors","Management, Business, and Financial","Business and Financial Operations",1590845,635022,955823,60.1,61630,74290,55355,74.5,2021-06-01
"1092","Appraisers and assessors of real estate","Management, Business, and Financial","Business and Financial Operations",75621,48090,27531,36.4,55113,62041,45713,73.7,2021-06-01
"1093","Budget analysts","Management, Business, and Financial","Business and Financial Operations",42992,18004,24988,58.1,75207,83503,72121,86.4,2021-06-01
"1094","Credit analysts","Management, Business, and Financial","Business and Financial Operations",25831,11562,14269,55.2,51742,54170,50368,93,2021-06-01
"1095","Financial analysts","Management, Business, and Financial","Business and Financial Operations",191432,113535,77897,40.7,80779,86313,73117,84.7,2021-06-01
"1096","Personal financial advisors","Management, Business, and Financial","Business and Financial Operations",310815,216465,94350,30.4,87023,100744,62398,61.9,2021-06-01
"1097","Insurance underwriters","Management, Business, and Financial","Business and Financial Operations",100406,36810,63596,63.3,61257,70294,56889,80.9,2021-06-01
"1098","Financial examiners","Management, Business, and Financial","Business and Financial Operations",11144,5834,5310,47.6,79197,86633,76190,NA,2021-06-01
"1099","Credit counselors and loan officers","Management, Business, and Financial","Business and Financial Operations",273231,120061,153170,56.1,55986,75368,47329,62.8,2021-06-01
"1100","Tax examiners and collectors, and revenue agents","Management, Business, and Financial","Business and Financial Operations",50457,16381,34076,67.5,51028,62186,47388,76.2,2021-06-01
"1101","Tax preparers","Management, Business, and Financial","Business and Financial Operations",52627,22243,30384,57.7,52136,62228,45869,73.7,2021-06-01
"1102","Financial specialists, all other","Management, Business, and Financial","Business and Financial Operations",49449,21315,28134,56.9,64187,92271,50356,54.6,2021-06-01
"1103","Computer and information research scientists","Computer, Engineering, and Science","Computer and mathematical",16892,12047,4845,28.7,80981,85716,71493,NA,2021-06-01
"1104","Computer systems analysts","Computer, Engineering, and Science","Computer and mathematical",426775,265833,160942,37.7,77420,82774,70706,85.4,2021-06-01
"1105","Information security analysts","Computer, Engineering, and Science","Computer and mathematical",62969,50625,12344,19.6,87209,90764,75800,83.5,2021-06-01
"1106","Computer programmers","Computer, Engineering, and Science","Computer and mathematical",381192,300845,80347,21.1,83138,85773,77459,90.3,2021-06-01
"1107","Software developers, applications and systems software","Computer, Engineering, and Science","Computer and mathematical",1037453,839190,198263,19.1,97763,100697,86856,86.3,2021-06-01
"1108","Web developers","Computer, Engineering, and Science","Computer and mathematical",139635,93046,46589,33.4,61543,62432,58768,94.1,2021-06-01
"1109","Computer support specialists","Computer, Engineering, and Science","Computer and mathematical",528080,400613,127467,24.1,56777,57650,52583,91.2,2021-06-01
"1110","Database administrators","Computer, Engineering, and Science","Computer and mathematical",98628,64000,34628,35.1,76971,86021,64495,75,2021-06-01
"1111","Network and computer systems administrators","Computer, Engineering, and Science","Computer and mathematical",190100,156374,33726,17.7,70574,71367,65148,91.3,2021-06-01
"1112","Computer network architects","Computer, Engineering, and Science","Computer and mathematical",103813,94936,8877,8.6,95506,95720,92370,96.5,2021-06-01
"1113","Computer , all other","Computer, Engineering, and Science","Computer and mathematical",502477,386665,115812,23,69200,70207,66684,95,2021-06-01
"1114","Actuaries","Computer, Engineering, and Science","Computer and mathematical",22141,14827,7314,33,102240,112444,92323,82.1,2021-06-01
"1115","Mathematicians","Computer, Engineering, and Science","Computer and mathematical",2100,1291,809,38.5,86951,103750,65179,NA,2021-06-01
"1116","Operations research analysts","Computer, Engineering, and Science","Computer and mathematical",129326,66333,62993,48.7,77057,86722,70289,81.1,2021-06-01
"1117","Statisticians","Computer, Engineering, and Science","Computer and mathematical",33912,17309,16603,49,83209,87300,80260,91.9,2021-06-01
"1118","Miscellaneous mathematical science","Computer, Engineering, and Science","Computer and mathematical",3951,2344,1607,40.7,76250,82500,62345,NA,2021-06-01
"1119","Architects, except naval","Computer, Engineering, and Science","Architecture and Engineering",147505,111828,35677,24.2,76033,80488,63891,79.4,2021-06-01
"1120","Surveyors, cartographers, and photogrammetrists","Computer, Engineering, and Science","Architecture and Engineering",25698,21372,4326,16.8,61862,62003,56677,NA,2021-06-01
"1121","Aerospace engineers","Computer, Engineering, and Science","Architecture and Engineering",104657,92536,12121,11.6,101228,102004,90768,89,2021-06-01
"1122","Agricultural engineers","Computer, Engineering, and Science","Architecture and Engineering",3091,2915,176,5.7,78423,78679,47268,NA,2021-06-01
"1123","Biomedical engineers","Computer, Engineering, and Science","Architecture and Engineering",11102,9850,1252,11.3,76167,76923,62000,NA,2021-06-01
"1124","Chemical engineers","Computer, Engineering, and Science","Architecture and Engineering",56266,47775,8491,15.1,100960,100944,101063,100.1,2021-06-01
"1125","Civil engineers","Computer, Engineering, and Science","Architecture and Engineering",276172,242805,33367,12.1,82611,85482,75346,88.1,2021-06-01
"1126","Computer hardware engineers","Computer, Engineering, and Science","Architecture and Engineering",47062,40447,6615,14.1,95440,97034,84479,87.1,2021-06-01
"1127","Electrical and electronics engineers","Computer, Engineering, and Science","Architecture and Engineering",190417,174106,16311,8.6,92880,95103,81359,85.5,2021-06-01
"1128","Environmental engineers","Computer, Engineering, and Science","Architecture and Engineering",25754,19312,6442,25,80846,82150,75857,92.3,2021-06-01
"1129","Industrial engineers, including health and safety","Computer, Engineering, and Science","Architecture and Engineering",179731,145147,34584,19.2,76826,77713,71361,91.8,2021-06-01
"1130","Marine engineers and naval architects","Computer, Engineering, and Science","Architecture and Engineering",10832,10002,830,7.7,90353,90095,100404,NA,2021-06-01
"1131","Materials engineers","Computer, Engineering, and Science","Architecture and Engineering",38312,33756,4556,11.9,80694,81705,69452,NA,2022-01-01
"1132","Mechanical engineers","Computer, Engineering, and Science","Architecture and Engineering",225549,206416,19133,8.5,82760,83340,80750,96.9,2022-01-01
"1133","Mining and geological engineers, including mining safety engineers","Computer, Engineering, and Science","Architecture and Engineering",9279,8253,1026,11.1,89517,87399,101360,NA,2022-01-01
"1134","Nuclear engineers","Computer, Engineering, and Science","Architecture and Engineering",6116,5449,667,10.9,111462,113113,102149,NA,2022-01-01
"1135","Petroleum engineers","Computer, Engineering, and Science","Architecture and Engineering",28922,25358,3564,12.3,125678,131162,111271,NA,2022-01-01
"1136","Engineers, all other","Computer, Engineering, and Science","Architecture and Engineering",474766,412308,62458,13.2,92062,95216,81156,85.2,2022-01-01
"1137","Drafters","Computer, Engineering, and Science","Architecture and Engineering",124921,104061,20860,16.7,51609,52192,47475,91,2022-01-01
"1138","Engineering technicians, except drafters","Computer, Engineering, and Science","Architecture and Engineering",316833,263123,53710,17,55024,56580,46172,81.6,2022-01-01
"1139","Surveying and mapping technicians","Computer, Engineering, and Science","Architecture and Engineering",50931,47838,3093,6.1,50504,50771,45360,NA,2022-01-01
"1140","Agricultural and food scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",17366,11069,6297,36.3,61150,70009,54178,77.4,2022-01-01
"1141","Biological scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",62763,33697,29066,46.3,61141,62192,60114,96.7,2022-01-01
"1142","Conservation scientists and foresters","Computer, Engineering, and Science","Life, Physical, and Social Science",17087,13930,3157,18.5,52470,55144,51359,NA,2022-01-01
"1143","Medical scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",118091,59308,58783,49.8,75438,82246,67361,81.9,2022-01-01
"1144","Life scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",10172,5461,4711,46.3,72742,74723,60413,NA,2022-01-01
"1145","Astronomers and physicists","Computer, Engineering, and Science","Life, Physical, and Social Science",8276,7232,1044,12.6,100407,100634,86477,NA,2022-01-01
"1146","Atmospheric and space scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",8367,6577,1790,21.4,82852,86926,68836,NA,2022-01-01
"1147","Chemists and materials scientists","Computer, Engineering, and Science","Life, Physical, and Social Science",74050,44599,29451,39.8,67342,73671,63822,86.6,2022-01-01
"1148","Environmental scientists and geoscientists","Computer, Engineering, and Science","Life, Physical, and Social Science",58056,41197,16859,29,77010,81693,67141,82.2,2022-01-01
"1149","Physical scientists, all other","Computer, Engineering, and Science","Life, Physical, and Social Science",180602,107571,73031,40.4,77740,86695,66893,77.2,2022-01-01
"1150","Economists","Computer, Engineering, and Science","Life, Physical, and Social Science",22836,15043,7793,34.1,103467,111549,95733,85.8,2022-01-01
"1151","Survey researchers","Computer, Engineering, and Science","Life, Physical, and Social Science",929,493,436,46.9,90354,106250,70950,NA,2022-01-01
"1152","Psychologists","Computer, Engineering, and Science","Life, Physical, and Social Science",122868,38661,84207,68.5,71416,85861,66765,77.8,2022-01-01
"1153","Urban and regional planners","Computer, Engineering, and Science","Life, Physical, and Social Science",20118,11843,8275,41.1,71387,72133,70053,97.1,2022-01-01
"1154","Miscellaneous social scientists and related workers, including sociologists","Computer, Engineering, and Science","Life, Physical, and Social Science",23218,13124,10094,43.5,66855,70191,61742,88,2022-01-01
"1155","Agricultural and food science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",30579,20012,10567,34.6,46084,50753,37219,73.3,2022-01-01
"1156","Biological technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",17556,8664,8892,50.6,50100,51100,46928,91.8,2022-01-01
"1157","Chemical technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",59673,40557,19116,32,52119,55771,48499,87,2022-01-01
"1158","Geological and petroleum technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",16682,13285,3397,20.4,73543,75499,61777,NA,2022-01-01
"1159","Nuclear technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",3383,2432,951,28.1,71703,75769,61483,NA,2022-01-01
"1160","Social science research assistants","Computer, Engineering, and Science","Life, Physical, and Social Science",2205,775,1430,64.9,42435,52552,42284,NA,2022-01-01
"1161","Miscellaneous life, physical, and social science technicians","Computer, Engineering, and Science","Life, Physical, and Social Science",132230,69433,62797,47.5,42427,46514,40928,88,2022-01-01
"1162","Counselors","Education, Legal, Community Service, Arts, and Media","Community and Social Service",547839,159706,388133,70.8,44100,45444,43490,95.7,2022-01-01
"1163","Social workers","Education, Legal, Community Service, Arts, and Media","Community and Social Service",693187,129081,564106,81.4,42350,45076,42172,93.6,2022-01-01
"1164","Probation officers and correctional treatment specialists","Education, Legal, Community Service, Arts, and Media","Community and Social Service",83528,42632,40896,49,48528,50128,46479,92.7,2022-01-01
"1165","Social and human service assistants","Education, Legal, Community Service, Arts, and Media","Community and Social Service",134496,28824,105672,78.6,37178,41363,36551,88.4,2022-01-01
"1166","Miscellaneous community and social service specialists, including health educators and community health workers","Education, Legal, Community Service, Arts, and Media","Community and Social Service",65726,19664,46062,70.1,44030,48495,41334,85.2,2022-01-01
"1167","Clergy","Education, Legal, Community Service, Arts, and Media","Community and Social Service",329537,277594,51943,15.8,44518,45275,41604,91.9,2022-01-01
"1168","Directors, religious activities and education","Education, Legal, Community Service, Arts, and Media","Community and Social Service",47490,23089,24401,51.4,41935,49056,38554,78.6,2022-01-01
"1169","Religious workers, all other","Education, Legal, Community Service, Arts, and Media","Community and Social Service",35916,14303,21613,60.2,36943,42330,35712,84.4,2022-01-01
"1170","Lawyers","Education, Legal, Community Service, Arts, and Media","Legal",879090,569258,309832,35.2,120930,130914,101441,77.5,2022-01-01
"1171","Judicial law clerks","Education, Legal, Community Service, Arts, and Media","Legal",12429,6332,6097,49.1,55499,51492,59954,NA,2022-01-01
"1172","Judges, magistrates, and other judicial workers","Education, Legal, Community Service, Arts, and Media","Legal",53899,29676,24223,44.9,101014,121650,71919,59.1,2022-01-01
"1173","Paralegals and legal assistants","Education, Legal, Community Service, Arts, and Media","Legal",316583,52309,264274,83.5,48453,50668,48007,94.7,2022-01-01
"1174","Miscellaneous legal support workers","Education, Legal, Community Service, Arts, and Media","Legal",130165,40597,89568,68.8,51139,61075,46881,76.8,2022-01-01
"1175","Postsecondary teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",879141,469912,409229,46.5,65629,71485,61046,85.4,2022-01-01
"1176","Preschool and kindergarten teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",340735,9808,330927,97.1,24938,27004,24853,92,2022-01-01
"1177","Elementary and middle school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",2316620,513022,1803598,77.9,50192,52182,49006,93.9,2022-01-01
"1178","Secondary school teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",542418,234178,308240,56.8,51915,55088,50921,92.4,2022-01-01
"1179","Special education teachers","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",168678,26883,141795,84.1,48795,49731,48593,97.7,2022-01-01
"1180","Other teachers and instructors","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",354049,161351,192698,54.4,43893,50979,38426,75.4,2022-01-01
"1181","Archivists, curators, and museum technicians","Education, Legal, Community Service, Arts, and Media","Education, Training, and Library",32237,13806,18431,57.2,50931,51822,50497,97.4,2022-01-01
